nome_;genero_;desenvolvedor_;lancamento_;plataformas_
The Sims Reborn;MMORPG;Santa Monica Studio;2013;PlayStation 3
EVE Online Origins;FPS;Activision;1991;Mobile
Fall Guys Odyssey;Estratégia;Supercell;1997;PlayStation 3
Red Dead Redemption Infinity;RPG;Nintendo;2009;PlayStation 5
League of Legends Saga;Esporte;Square Enix;2004;PlayStation 3
Red Dead Redemption Origins;RPG;Ubisoft;1992;PlayStation 2
God of War Saga;Estratégia;Santa Monica Studio;1999;Mobile
Red Dead Redemption Reborn;FPS;Rockstar Games;2022;Nintendo Switch
Overwatch Legends;Esporte;Epic Games;2009;PlayStation 3
Hades Infinity;Ação;Rockstar Games;2007;Nintendo Switch
Overwatch Odyssey;Esporte;Mojang;2006;PlayStation 5
God of War Odyssey;Puzzle;Bethesda Game Studios;1993;Mobile
Apex Legends Infinity;Corrida;Rockstar Games;2019;PlayStation 3
Apex Legends Chronicles;Battle Royale;Blizzard Entertainment;2011;PC
Red Dead Redemption Infinity;RPG;Mojang;2012;PlayStation 3
League of Legends Reborn;FPS;CD Projekt Red;2011;Nintendo Switch
Hades Odyssey;FPS;Valve;2003;PlayStation
Hades Odyssey;Battle Royale;Blizzard Entertainment;1989;Xbox Series X
Apex Legends Infinity;Battle Royale;Ubisoft;1986;PlayStation 5
The Legend of Zelda Odyssey;Battle Royale;CD Projekt Red;2002;Xbox Series X
Stardew Valley Chronicles;Esporte;FromSoftware;2023;Xbox 360
EVE Online Saga;FPS;Rockstar Games;2011;PlayStation 2
Apex Legends Saga;FPS;Square Enix;2017;Xbox 360
Red Dead Redemption Reborn;FPS;Blizzard Entertainment;2007;PC
Dota 2 Infinity;Puzzle;Supercell;1987;Xbox 360
Hades Adventure;Puzzle;Valve;2021;Nintendo Switch
Among Us Origins;Estratégia;Square Enix;2021;Xbox Series X
Call of Duty Odyssey;Puzzle;Valve;1995;Xbox Series X
Among Us Reborn;Sandbox;Bungie;2012;PC
Grand Theft Auto Chronicles;Sandbox;Supercell;2001;PlayStation 3
God of War Odyssey;Terror;Activision;2020;Xbox Series X
League of Legends Origins;Terror;Ubisoft;1991;PC
The Sims Chronicles;Ação;Bethesda Game Studios;2005;Wii U
Minecraft Saga;Ação;Rockstar Games;2015;Nintendo Switch
Fortnite Odyssey;Ação;Bungie;2013;Xbox
Cyberpunk Chronicles;Esporte;Activision;1991;PlayStation 5
Fortnite Reborn;Ação;Nintendo;1991;Wii U
Fortnite Adventure;Ação;Activision;2000;Xbox 360
League of Legends Adventure;MMORPG;Blizzard Entertainment;2001;PlayStation 3
PUBG Infinity;Sandbox;FromSoftware;2011;PlayStation
Fortnite Legends;Corrida;FromSoftware;2010;Nintendo Switch
Hollow Knight Odyssey;Simulação;Blizzard Entertainment;2005;PC
Dota 2 Saga;RPG;Valve;1993;Xbox 360
Hollow Knight Infinity;Corrida;Valve;2015;PlayStation
Grand Theft Auto Chronicles;Puzzle;Activision;2000;Xbox 360
Hollow Knight Odyssey;Ação;Rockstar Games;2012;Mobile
The Legend of Zelda Odyssey;Puzzle;Bethesda Game Studios;1987;Xbox 360
Red Dead Redemption Reborn;Battle Royale;Bethesda Game Studios;1997;Xbox
Dota 2 Legends;MMORPG;Epic Games;2002;PlayStation
Hades Saga;Sandbox;Bungie;2009;PlayStation 3
The Legend of Zelda Chronicles;RPG;Bungie;1989;Wii U
Overwatch Reborn;Corrida;FromSoftware;2003;Mobile
Minecraft Reborn;FPS;Valve;2013;PlayStation 2
Elden Ring Legends;Ação;Valve;1985;PlayStation 5
Hollow Knight Saga;Puzzle;Blizzard Entertainment;1998;Nintendo Switch
League of Legends Infinity;Puzzle;Valve;2004;PC
Hades Reborn;Terror;Bungie;1987;Nintendo Switch
Hades Infinity;FPS;Bungie;2010;PlayStation
Red Dead Redemption Odyssey;FPS;Mojang;2021;PlayStation
Fall Guys Reborn;Estratégia;Rockstar Games;1986;PlayStation 3
Fall Guys Chronicles;Estratégia;Rockstar Games;1989;Xbox
The Witcher Reborn;FPS;Blizzard Entertainment;1991;Mobile
Valorant Origins;Battle Royale;Square Enix;2013;PlayStation 3
Overwatch Odyssey;Aventura;Mojang;2016;Mobile
The Legend of Zelda Chronicles;Sandbox;Square Enix;2017;PlayStation
Elden Ring Odyssey;Estratégia;Activision;2023;Wii U
Among Us Chronicles;Puzzle;Ubisoft;2014;Xbox
Stardew Valley Chronicles;Simulação;Bethesda Game Studios;1987;PlayStation 3
EVE Online Origins;Terror;Nintendo;2007;Mobile
PUBG Legends;Estratégia;Bungie;2001;PlayStation 5
The Legend of Zelda Odyssey;MMORPG;Bungie;2022;PlayStation 3
PUBG Legends;RPG;Bethesda Game Studios;2006;PC
Fortnite Adventure;RPG;Nintendo;2023;PlayStation 2
Assassin's Creed Reborn;Battle Royale;Mojang;2010;Nintendo Switch
Among Us Chronicles;MMORPG;Bethesda Game Studios;2022;Nintendo Switch
Red Dead Redemption Saga;Simulação;Supercell;2022;Xbox Series X
The Sims Infinity;Terror;Ubisoft;2004;PlayStation 5
God of War Adventure;Battle Royale;FromSoftware;2019;Xbox 360
Red Dead Redemption Chronicles;Aventura;CD Projekt Red;1999;Xbox 360
League of Legends Saga;MMORPG;Square Enix;2014;PlayStation 2
Hades Legends;Corrida;Ubisoft;2010;Xbox Series X
Apex Legends Adventure;Battle Royale;Mojang;2003;Mobile
The Legend of Zelda Infinity;Corrida;Supercell;2022;Xbox 360
Assassin's Creed Infinity;RPG;Activision;2015;Wii U
Diablo Origins;Simulação;Supercell;2011;PC
The Legend of Zelda Chronicles;Terror;Rockstar Games;1997;Xbox
Fortnite Origins;Esporte;Mojang;1985;PlayStation 5
The Legend of Zelda Odyssey;MMORPG;Square Enix;1991;Xbox 360
PUBG Saga;FPS;FromSoftware;1993;Nintendo Switch
God of War Odyssey;Terror;Rockstar Games;1989;Xbox
Hades Chronicles;Puzzle;Valve;1989;Xbox Series X
The Legend of Zelda Chronicles;FPS;Nintendo;2011;PlayStation 5
The Witcher Infinity;Puzzle;FromSoftware;2007;PlayStation 3
God of War Legends;Corrida;Bungie;2016;Xbox
Among Us Reborn;Esporte;Activision;1988;Nintendo Switch
Elden Ring Chronicles;Terror;Epic Games;1990;Xbox 360
League of Legends Infinity;Terror;Mojang;1988;Xbox Series X
Minecraft Infinity;Ação;Bethesda Game Studios;2017;PlayStation
Hades Infinity;Terror;Activision;1994;PlayStation 2
The Sims Saga;Esporte;Epic Games;2010;PlayStation 3
PUBG Chronicles;Puzzle;Santa Monica Studio;1992;Wii U
Diablo Saga;Estratégia;Blizzard Entertainment;2003;Xbox Series X
Valorant Infinity;MMORPG;FromSoftware;2006;Xbox
Fortnite Saga;MMORPG;Nintendo;1999;PlayStation 3
League of Legends Odyssey;Sandbox;Rockstar Games;1995;Xbox
The Legend of Zelda Saga;Sandbox;Bethesda Game Studios;2001;Xbox Series X
God of War Reborn;Aventura;Bethesda Game Studios;1996;PC
PUBG Reborn;Sandbox;Ubisoft;1989;PlayStation
Apex Legends Odyssey;Sandbox;Epic Games;2001;PlayStation 5
Diablo Reborn;RPG;Ubisoft;1995;PC
The Legend of Zelda Infinity;Puzzle;Nintendo;2011;Mobile
God of War Infinity;Esporte;Bungie;2013;Xbox
Stardew Valley Adventure;Simulação;Santa Monica Studio;2006;PlayStation 3
EVE Online Odyssey;RPG;Activision;2011;PlayStation 5
Red Dead Redemption Odyssey;Ação;Activision;2005;Mobile
Overwatch Infinity;RPG;Nintendo;2003;PC
EVE Online Origins;RPG;Supercell;2013;Xbox Series X
Apex Legends Reborn;Terror;Activision;1989;PlayStation 5
The Witcher Infinity;MMORPG;Ubisoft;2021;Wii U
Dota 2 Legends;Puzzle;Supercell;1985;PC
Red Dead Redemption Reborn;Puzzle;Valve;2018;Wii U
Call of Duty Odyssey;Battle Royale;Santa Monica Studio;2015;PlayStation
League of Legends Legends;Aventura;Activision;2002;Mobile
PUBG Saga;FPS;Blizzard Entertainment;1999;Xbox 360
Overwatch Saga;Esporte;Nintendo;1999;PlayStation 3
Cyberpunk Legends;Sandbox;Ubisoft;2008;PlayStation 5
Stardew Valley Origins;RPG;CD Projekt Red;2007;Xbox
Red Dead Redemption Adventure;Corrida;Rockstar Games;2013;PlayStation 5
Call of Duty Chronicles;Esporte;CD Projekt Red;1998;Xbox 360
Valorant Infinity;RPG;CD Projekt Red;1986;PlayStation 3
Stardew Valley Origins;Terror;Ubisoft;1986;Mobile
Hollow Knight Legends;Ação;FromSoftware;1986;Xbox
God of War Infinity;Simulação;CD Projekt Red;2005;Xbox 360
Assassin's Creed Saga;Corrida;Supercell;2019;PlayStation
League of Legends Legends;Puzzle;FromSoftware;2009;Xbox Series X
Overwatch Odyssey;MMORPG;Bethesda Game Studios;1988;Nintendo Switch
Elden Ring Reborn;Puzzle;Blizzard Entertainment;2023;Nintendo Switch
Overwatch Reborn;Simulação;FromSoftware;2014;Nintendo Switch
Stardew Valley Odyssey;Terror;Square Enix;1988;Mobile
Elden Ring Saga;Simulação;Square Enix;1997;Wii U
The Witcher Saga;Aventura;Bethesda Game Studios;2020;PlayStation 2
Dota 2 Chronicles;Sandbox;Ubisoft;1988;Nintendo Switch
Hollow Knight Chronicles;Puzzle;Rockstar Games;2021;Xbox Series X
Minecraft Legends;Simulação;Nintendo;2008;PC
Cyberpunk Origins;Estratégia;Santa Monica Studio;1989;Wii U
Elden Ring Infinity;FPS;FromSoftware;2012;PC
League of Legends Chronicles;Simulação;Activision;2015;PC
Assassin's Creed Chronicles;Esporte;Valve;1990;Xbox 360
Dota 2 Origins;MMORPG;Nintendo;2012;PlayStation 3
Stardew Valley Origins;MMORPG;Activision;1987;Xbox 360
The Witcher Origins;Terror;Activision;2015;Xbox 360
Elden Ring Origins;Esporte;Nintendo;1991;Xbox
Fall Guys Saga;Battle Royale;Bethesda Game Studios;2017;PC
Hollow Knight Legends;Sandbox;Mojang;2007;PlayStation
Dota 2 Odyssey;Corrida;Rockstar Games;1998;PlayStation 3
Fall Guys Adventure;Corrida;Epic Games;1995;Mobile
God of War Chronicles;Battle Royale;Square Enix;2021;PlayStation 2
Grand Theft Auto Chronicles;MMORPG;Supercell;2001;Wii U
Cyberpunk Chronicles;Esporte;Rockstar Games;2001;PlayStation 5
Diablo Adventure;Aventura;Ubisoft;2023;PlayStation 2
Apex Legends Reborn;Esporte;Nintendo;2019;Wii U
Hollow Knight Saga;RPG;Nintendo;1998;Nintendo Switch
Elden Ring Odyssey;Battle Royale;Activision;1985;PlayStation
The Sims Odyssey;Estratégia;Activision;1987;PlayStation 3
Cyberpunk Reborn;Corrida;Blizzard Entertainment;2010;Nintendo Switch
Hollow Knight Reborn;Terror;FromSoftware;1989;PlayStation 2
Diablo Reborn;Sandbox;Rockstar Games;2004;Nintendo Switch
The Witcher Adventure;Puzzle;Rockstar Games;1999;Nintendo Switch
Among Us Adventure;Aventura;Blizzard Entertainment;2010;PlayStation
The Legend of Zelda Odyssey;FPS;Supercell;1992;Nintendo Switch
PUBG Chronicles;Esporte;Supercell;2000;PlayStation
Minecraft Origins;RPG;Activision;2012;Nintendo Switch
Dota 2 Origins;Ação;Bethesda Game Studios;1993;PC
Stardew Valley Odyssey;MMORPG;CD Projekt Red;2016;PC
Cyberpunk Saga;Terror;CD Projekt Red;2017;Wii U
Minecraft Infinity;Simulação;Activision;2005;PlayStation
Dota 2 Origins;Aventura;Epic Games;2019;Xbox Series X
Diablo Legends;Estratégia;Santa Monica Studio;2023;Mobile
Overwatch Infinity;Estratégia;Valve;1989;Xbox
Minecraft Reborn;Ação;Activision;2019;Nintendo Switch
Overwatch Legends;Sandbox;Bethesda Game Studios;2020;Xbox Series X
The Sims Reborn;Simulação;Mojang;1987;PC
Fall Guys Chronicles;Estratégia;Epic Games;2001;Mobile
EVE Online Saga;Corrida;Supercell;2005;Mobile
Apex Legends Reborn;Sandbox;Mojang;1998;Xbox
Assassin's Creed Adventure;Estratégia;Bungie;1990;Xbox 360
Hollow Knight Chronicles;Puzzle;Rockstar Games;1986;PlayStation
Dota 2 Legends;MMORPG;Rockstar Games;1990;Xbox 360
League of Legends Saga;FPS;Bethesda Game Studios;2012;Xbox 360
Grand Theft Auto Chronicles;Puzzle;Ubisoft;2009;Xbox Series X
Red Dead Redemption Infinity;MMORPG;Bethesda Game Studios;2021;Nintendo Switch
Red Dead Redemption Origins;Terror;Activision;2015;PC
League of Legends Chronicles;Puzzle;Nintendo;1992;Xbox
EVE Online Odyssey;Esporte;FromSoftware;2011;Wii U
Grand Theft Auto Saga;RPG;Mojang;1988;Xbox Series X
The Legend of Zelda Reborn;RPG;Epic Games;2013;Xbox 360
Hollow Knight Saga;Estratégia;Santa Monica Studio;1997;Nintendo Switch
Dota 2 Odyssey;Battle Royale;Ubisoft;1995;PlayStation 3
EVE Online Legends;Corrida;Bungie;2010;Wii U
League of Legends Origins;FPS;Ubisoft;1999;PlayStation 3
Valorant Legends;Terror;Valve;2010;PlayStation 3
Fortnite Legends;FPS;Supercell;1995;PlayStation 5
EVE Online Saga;FPS;Santa Monica Studio;1993;Xbox
Among Us Origins;Sandbox;Mojang;2011;Xbox Series X
Cyberpunk Origins;Battle Royale;Valve;2022;Xbox 360
EVE Online Origins;Corrida;Square Enix;2021;PlayStation 3
Apex Legends Chronicles;FPS;Ubisoft;2004;PlayStation 3
The Legend of Zelda Legends;RPG;FromSoftware;2013;PlayStation 3
Elden Ring Adventure;Battle Royale;Ubisoft;2019;PlayStation
League of Legends Chronicles;Terror;Mojang;2014;PlayStation 3
Assassin's Creed Adventure;Aventura;Santa Monica Studio;2001;PlayStation 5
Red Dead Redemption Chronicles;Sandbox;Santa Monica Studio;2022;Wii U
God of War Odyssey;Battle Royale;Epic Games;2009;PlayStation 2
Apex Legends Legends;RPG;FromSoftware;2006;Wii U
Grand Theft Auto Reborn;Battle Royale;Activision;1987;PlayStation 2
Among Us Legends;Puzzle;Nintendo;1989;PC
EVE Online Reborn;Sandbox;Mojang;2004;PlayStation 2
Among Us Legends;Puzzle;Rockstar Games;1989;PC
Apex Legends Odyssey;Ação;Activision;2000;PlayStation
Assassin's Creed Odyssey;Corrida;FromSoftware;1998;Nintendo Switch
The Sims Saga;RPG;Square Enix;2006;Xbox
Valorant Reborn;MMORPG;Rockstar Games;2007;PlayStation
Diablo Saga;Terror;Epic Games;2009;Xbox
The Legend of Zelda Legends;Ação;FromSoftware;2006;Xbox 360
Fortnite Saga;Ação;Nintendo;2002;PlayStation 5
The Sims Infinity;FPS;Nintendo;1994;Nintendo Switch
Fortnite Origins;Estratégia;Activision;1991;PlayStation 3
Apex Legends Legends;Ação;Bungie;1990;Xbox
Fortnite Chronicles;Esporte;Valve;1997;Xbox 360
The Sims Legends;Ação;Bethesda Game Studios;2000;Wii U
Stardew Valley Adventure;FPS;FromSoftware;2004;Wii U
Fall Guys Odyssey;Sandbox;Epic Games;1993;Xbox 360
Among Us Legends;Terror;Nintendo;1988;PlayStation 2
Among Us Reborn;Esporte;Ubisoft;2003;Nintendo Switch
League of Legends Odyssey;Estratégia;Activision;2000;Nintendo Switch
Red Dead Redemption Odyssey;Sandbox;Bethesda Game Studios;2020;Xbox
League of Legends Saga;Estratégia;CD Projekt Red;2017;PlayStation 2
The Sims Odyssey;Sandbox;FromSoftware;1995;PlayStation 3
Minecraft Infinity;Sandbox;Square Enix;1985;Xbox Series X
The Legend of Zelda Reborn;FPS;Bungie;2023;PlayStation 3
Assassin's Creed Reborn;Sandbox;Nintendo;2016;PlayStation 3
The Legend of Zelda Chronicles;Esporte;CD Projekt Red;2015;PlayStation 2
Among Us Reborn;Estratégia;Activision;2015;Xbox Series X
PUBG Reborn;Esporte;Mojang;2017;PlayStation
PUBG Odyssey;Ação;Rockstar Games;1996;Xbox
EVE Online Origins;Estratégia;Square Enix;2016;PlayStation 2
Grand Theft Auto Infinity;FPS;CD Projekt Red;2005;PlayStation 5
Dota 2 Adventure;FPS;Blizzard Entertainment;1999;PC
The Witcher Legends;FPS;Bethesda Game Studios;2012;Xbox 360
Dota 2 Adventure;Simulação;Bethesda Game Studios;1994;PlayStation 5
The Sims Odyssey;Terror;Bungie;2022;Xbox
Hades Odyssey;Aventura;Rockstar Games;2005;PlayStation 2
The Legend of Zelda Legends;Sandbox;Blizzard Entertainment;1997;PC
God of War Chronicles;Sandbox;Square Enix;1985;Wii U
Red Dead Redemption Legends;MMORPG;Square Enix;2003;PlayStation 5
Fall Guys Odyssey;Ação;Bethesda Game Studios;2000;PlayStation 2
Hades Chronicles;Terror;Square Enix;2018;Xbox Series X
PUBG Reborn;Corrida;CD Projekt Red;2003;PlayStation 3
Red Dead Redemption Origins;Esporte;CD Projekt Red;2011;PlayStation 3
Assassin's Creed Legends;Esporte;Nintendo;1990;Nintendo Switch
The Witcher Adventure;Sandbox;Nintendo;1992;Nintendo Switch
Overwatch Origins;Simulação;Epic Games;1985;Xbox Series X
Among Us Saga;Estratégia;Valve;1985;Xbox Series X
The Sims Chronicles;MMORPG;CD Projekt Red;1989;PlayStation
Diablo Infinity;Aventura;Bungie;2006;Nintendo Switch
The Sims Chronicles;Estratégia;CD Projekt Red;1995;Xbox Series X
The Witcher Legends;Esporte;Valve;2001;PlayStation 3
Hades Saga;MMORPG;Activision;1985;PlayStation 2
Red Dead Redemption Adventure;Estratégia;Mojang;2023;Wii U
PUBG Saga;Esporte;Rockstar Games;2002;Mobile
Apex Legends Infinity;Terror;Mojang;1997;Xbox 360
Among Us Legends;Sandbox;Ubisoft;1987;PC
Fortnite Saga;Aventura;Activision;2005;PC
Red Dead Redemption Legends;Ação;CD Projekt Red;1993;Wii U
Hollow Knight Infinity;Terror;Blizzard Entertainment;2014;PC
Fall Guys Saga;Ação;Ubisoft;1989;Xbox 360
Elden Ring Infinity;Estratégia;Epic Games;2011;Wii U
League of Legends Odyssey;Simulação;Nintendo;2000;PlayStation 5
PUBG Infinity;Estratégia;Square Enix;1989;Xbox Series X
Cyberpunk Legends;Estratégia;Rockstar Games;2019;Mobile
The Legend of Zelda Reborn;Ação;Mojang;2011;Nintendo Switch
Overwatch Infinity;Simulação;Blizzard Entertainment;1998;Wii U
Fortnite Saga;RPG;Epic Games;2002;PlayStation 3
Cyberpunk Adventure;Corrida;Valve;2014;Nintendo Switch
Dota 2 Reborn;Battle Royale;Bethesda Game Studios;1999;Xbox 360
Fortnite Infinity;Estratégia;CD Projekt Red;2018;PlayStation 5
Fortnite Infinity;RPG;Bethesda Game Studios;2023;PlayStation 2
Apex Legends Odyssey;FPS;Santa Monica Studio;2000;Xbox 360
Call of Duty Chronicles;RPG;Mojang;2023;Xbox Series X
EVE Online Origins;Ação;Bethesda Game Studios;2018;Xbox 360
Red Dead Redemption Legends;RPG;Bungie;1998;PlayStation 2
God of War Infinity;MMORPG;Bethesda Game Studios;1994;PlayStation 3
Call of Duty Reborn;Sandbox;Rockstar Games;2022;Nintendo Switch
Minecraft Adventure;Aventura;Rockstar Games;2023;PC
Minecraft Saga;Battle Royale;Square Enix;2002;Xbox Series X
The Witcher Origins;RPG;Nintendo;1995;PC
Overwatch Origins;Estratégia;Blizzard Entertainment;1989;Xbox Series X
EVE Online Saga;Corrida;Ubisoft;1998;PlayStation 5
The Legend of Zelda Saga;Ação;Santa Monica Studio;2007;PlayStation 3
Call of Duty Saga;Corrida;Supercell;2001;Nintendo Switch
PUBG Infinity;Puzzle;Blizzard Entertainment;2019;PC
EVE Online Saga;Estratégia;Supercell;2008;PlayStation 3
EVE Online Adventure;Simulação;Santa Monica Studio;2018;PlayStation
EVE Online Adventure;Puzzle;Ubisoft;2012;PlayStation 3
Grand Theft Auto Saga;Terror;Rockstar Games;2016;Xbox Series X
Cyberpunk Reborn;Estratégia;Supercell;1990;PlayStation 2
Red Dead Redemption Adventure;RPG;FromSoftware;1991;Wii U
Hades Chronicles;Sandbox;FromSoftware;2013;Xbox Series X
The Legend of Zelda Adventure;Terror;Mojang;2004;Nintendo Switch
Call of Duty Saga;Corrida;FromSoftware;2018;Nintendo Switch
Red Dead Redemption Origins;Simulação;Ubisoft;2007;Wii U
God of War Legends;Aventura;Square Enix;1985;Nintendo Switch
Cyberpunk Saga;Sandbox;Nintendo;1996;Nintendo Switch
Red Dead Redemption Chronicles;Esporte;Blizzard Entertainment;2022;Xbox
Elden Ring Legends;Estratégia;Supercell;2018;Xbox
The Legend of Zelda Legends;Sandbox;Rockstar Games;2004;Nintendo Switch
Fall Guys Adventure;Sandbox;Nintendo;1998;PC
Minecraft Origins;Estratégia;Epic Games;1992;Xbox Series X
EVE Online Saga;Ação;CD Projekt Red;1991;Xbox Series X
The Legend of Zelda Chronicles;Terror;CD Projekt Red;2006;PlayStation 5
The Legend of Zelda Origins;Aventura;Nintendo;2002;PlayStation
The Sims Reborn;FPS;Santa Monica Studio;1987;Wii U
PUBG Chronicles;RPG;Rockstar Games;2021;Nintendo Switch
Stardew Valley Saga;Estratégia;Nintendo;1998;Wii U
Dota 2 Saga;Puzzle;Epic Games;1986;Xbox Series X
Overwatch Legends;Simulação;Blizzard Entertainment;2020;PlayStation 5
Diablo Saga;FPS;Santa Monica Studio;2002;PC
The Witcher Chronicles;Battle Royale;Rockstar Games;2013;PlayStation 2
Apex Legends Origins;Esporte;Square Enix;2010;PlayStation 5
Among Us Legends;Puzzle;Bethesda Game Studios;1999;PlayStation 3
The Witcher Reborn;FPS;Mojang;2004;PC
Apex Legends Infinity;Ação;Rockstar Games;1985;Xbox
Grand Theft Auto Odyssey;Puzzle;Bungie;2013;Nintendo Switch
Among Us Adventure;Estratégia;Nintendo;1985;PlayStation
Apex Legends Legends;Puzzle;Activision;2003;Wii U
Cyberpunk Chronicles;Ação;Nintendo;2001;PlayStation
Fortnite Chronicles;Sandbox;Rockstar Games;2023;Wii U
Stardew Valley Chronicles;RPG;Blizzard Entertainment;2006;Xbox
The Legend of Zelda Adventure;Corrida;Blizzard Entertainment;1997;PlayStation 2
The Witcher Infinity;MMORPG;Square Enix;1991;PC
Valorant Saga;Battle Royale;Bethesda Game Studios;2006;Nintendo Switch
Overwatch Saga;MMORPG;Square Enix;2000;Xbox
God of War Legends;RPG;Valve;2001;Mobile
Dota 2 Chronicles;Sandbox;Supercell;1986;PlayStation
Red Dead Redemption Chronicles;Estratégia;Bungie;2020;Xbox
League of Legends Adventure;Sandbox;Activision;1991;PlayStation
Apex Legends Infinity;FPS;Santa Monica Studio;1999;PlayStation 2
Hades Chronicles;Corrida;CD Projekt Red;2005;Wii U
Hollow Knight Adventure;Battle Royale;CD Projekt Red;2016;Xbox Series X
EVE Online Legends;Puzzle;Ubisoft;2014;PlayStation 3
The Sims Odyssey;Esporte;Epic Games;1991;Xbox
League of Legends Adventure;Simulação;Mojang;2013;Mobile
The Sims Reborn;Terror;Activision;1995;Nintendo Switch
The Witcher Saga;Ação;Ubisoft;2001;Mobile
Hollow Knight Chronicles;RPG;Activision;1991;PC
The Legend of Zelda Infinity;Estratégia;Ubisoft;2006;PlayStation 2
The Sims Adventure;Ação;Ubisoft;2005;PlayStation
Minecraft Odyssey;MMORPG;Valve;1985;Xbox 360
Elden Ring Legends;FPS;Valve;1989;Xbox Series X
Fortnite Adventure;Simulação;FromSoftware;1991;Wii U
The Sims Infinity;RPG;Blizzard Entertainment;1997;PlayStation 3
Grand Theft Auto Origins;Esporte;Supercell;1985;PlayStation 3
God of War Adventure;Ação;Nintendo;1985;PlayStation
Fall Guys Reborn;Ação;Mojang;1996;Mobile
Minecraft Saga;Battle Royale;Square Enix;1997;PlayStation
Apex Legends Infinity;Sandbox;Bethesda Game Studios;1988;Mobile
Call of Duty Saga;Ação;Santa Monica Studio;2004;Wii U
The Sims Saga;Estratégia;Valve;2015;PlayStation
EVE Online Legends;Ação;Blizzard Entertainment;2021;Xbox
Fortnite Origins;Terror;Square Enix;1986;Xbox Series X
The Legend of Zelda Infinity;Ação;Activision;1998;Nintendo Switch
The Witcher Chronicles;RPG;Supercell;2014;Xbox 360
Assassin's Creed Adventure;Corrida;Bungie;1995;PlayStation 2
Stardew Valley Reborn;FPS;Bethesda Game Studios;1987;PC
Diablo Reborn;Esporte;Epic Games;1993;PC
Red Dead Redemption Chronicles;Esporte;CD Projekt Red;2020;Xbox Series X
EVE Online Infinity;Terror;Rockstar Games;2020;Mobile
Minecraft Saga;FPS;Santa Monica Studio;2022;Nintendo Switch
Fortnite Adventure;Battle Royale;Valve;1992;Xbox 360
Minecraft Reborn;Simulação;Square Enix;2000;PlayStation 5
Cyberpunk Chronicles;Terror;Santa Monica Studio;2003;Mobile
Overwatch Chronicles;Puzzle;Valve;1991;Mobile
The Legend of Zelda Origins;Corrida;Rockstar Games;1995;PlayStation 3
Hollow Knight Infinity;Ação;Rockstar Games;1991;Nintendo Switch
God of War Saga;Battle Royale;Square Enix;2022;Xbox Series X
Fall Guys Adventure;Corrida;Square Enix;1996;PlayStation 3
Red Dead Redemption Saga;RPG;Blizzard Entertainment;1987;PlayStation 5
Apex Legends Origins;Terror;Blizzard Entertainment;2020;PlayStation 3
Red Dead Redemption Legends;Battle Royale;Bungie;2023;Nintendo Switch
Cyberpunk Saga;Aventura;Bethesda Game Studios;1992;PlayStation 5
Call of Duty Reborn;Terror;Mojang;2006;PlayStation 3
Valorant Odyssey;Corrida;FromSoftware;1993;Mobile
Red Dead Redemption Infinity;Terror;Bethesda Game Studios;2001;Wii U
League of Legends Adventure;Puzzle;CD Projekt Red;2006;PlayStation
Elden Ring Legends;Aventura;Santa Monica Studio;2023;Xbox
Overwatch Adventure;RPG;CD Projekt Red;1997;PlayStation
Elden Ring Origins;Corrida;Blizzard Entertainment;1987;Mobile
PUBG Chronicles;Terror;Supercell;2011;PC
EVE Online Origins;Esporte;Blizzard Entertainment;2023;Xbox Series X
Red Dead Redemption Saga;FPS;Epic Games;2021;Xbox 360
Red Dead Redemption Adventure;Puzzle;Square Enix;1988;PC
League of Legends Odyssey;Simulação;Supercell;2002;PC
Call of Duty Origins;RPG;Blizzard Entertainment;1988;PlayStation 2
EVE Online Chronicles;Estratégia;Activision;1989;PC
Red Dead Redemption Saga;MMORPG;Ubisoft;1991;Nintendo Switch
Overwatch Odyssey;Esporte;Epic Games;1986;Nintendo Switch
Hollow Knight Reborn;RPG;Activision;2003;Xbox
Apex Legends Saga;MMORPG;Ubisoft;2013;Nintendo Switch
Hades Legends;Esporte;Bethesda Game Studios;2003;Xbox Series X
Apex Legends Saga;Estratégia;Nintendo;2011;PlayStation 5
Fortnite Reborn;Aventura;Valve;2023;Nintendo Switch
Fall Guys Reborn;Puzzle;Epic Games;1992;Mobile
League of Legends Chronicles;Aventura;Rockstar Games;2014;PlayStation
Overwatch Odyssey;RPG;Ubisoft;2021;Xbox 360
Overwatch Reborn;RPG;Ubisoft;2017;Wii U
Elden Ring Saga;Puzzle;Ubisoft;2008;PlayStation 2
Among Us Origins;Puzzle;Valve;1990;PlayStation 5
Assassin's Creed Infinity;Puzzle;Bethesda Game Studios;1991;PC
The Sims Chronicles;Puzzle;Supercell;2020;Xbox
Dota 2 Saga;Terror;Bethesda Game Studios;2005;PlayStation 3
God of War Adventure;Aventura;Activision;1987;PlayStation 2
Cyberpunk Chronicles;Corrida;Bungie;2005;Xbox
Dota 2 Legends;Sandbox;Activision;2008;Mobile
Red Dead Redemption Reborn;Simulação;Activision;1999;PC
The Legend of Zelda Adventure;Ação;Bethesda Game Studios;2008;PlayStation 2
Call of Duty Origins;Sandbox;Bethesda Game Studios;1993;Mobile
League of Legends Legends;Estratégia;FromSoftware;2001;Xbox Series X
Valorant Legends;RPG;Bungie;2009;Xbox 360
Assassin's Creed Adventure;Sandbox;Blizzard Entertainment;2019;Xbox 360
The Witcher Adventure;Terror;Epic Games;1994;PlayStation 5
